0,3,27.6,6.3
1,3,27.6,9.8
2,3,27.4,9.7
3,3,26.4,7.6
4,3,26.6,7.4
5,3,26.6,5.3
6,3,26.6,8.9
7,3,26.2,5.9
8,3,26.2,8
9,3,27.9,5.5
10,3,29.9,8.7
11,3,31.3,8.8
12,3,33.5,14.5
13,3,35.6,12.9
14,3,37.3,11.4
15,3,38.2,12.6
16,3,38.7,11.1
17,3,38.6,12.6
18,3,38.4,10.8
19,3,38.4,6.3
20,3,37.6,10
21,3,37.4,10.8
22,3,37.5,10.9
23,3,37.3,10.1
0,4,36.4,11.2
1,4,36.9,9.5
2,4,36.4,9.8
3,4,36.4,9.2
4,4,36.4,12.4
5,4,35.4,5.5
6,4,35.4,10
7,4,35.4,8.7
8,4,35.6,9.8
9,4,37.5,7.9
10,4,38.9,11
11,4,40.8,17
12,4,40.3,13.2
13,4,41.5,13.8
14,4,42.3,10.6
15,4,42.3,17.1
16,4,41.9,9.8
17,4,40.6,10.1
18,4,39.7,8.6
19,4,39.5,10.7
20,4,38.1,7.8
21,4,37.6,5.9
22,4,36.8,5.7
23,4,35.5,4.6
0,5,34.2,6.1
1,5,34.4,6.5
2,5,33,2.4
3,5,34.2,5.1
4,5,34,5.8
5,5,33.3,5.6
6,5,32.7,5.9
7,5,32.3,5.9
8,5,33.5,9.2
9,5,34.6,8.1
10,5,35.7,5.7
11,5,37.1,8.7
12,5,38.1,7
13,5,35.4,8.1
14,5,33.9,9
15,5,33.7,6.3
16,5,34.4,8.1
17,5,35.5,8.3
18,5,36.9,5.6
19,5,37.1,7
20,5,38.4,7.3
21,5,39.1,9.7
22,5,39.3,10
23,5,40.4,9.1
0,6,41.2,8.6
1,6,41.3,5.5
2,6,41.9,4.4
3,6,42,3.7
4,6,40.9,0
5,6,41.5,0
6,6,44,5.8
7,6,44.4,7.6
8,6,43.8,8.3
9,6,44.7,6.9
10,6,45.9,6.1
11,6,47,7.6
12,6,49.9,10.2
13,6,50.3,7.8
14,6,50.7,8.9
15,6,52.3,10.2
16,6,54.1,12.7
17,6,55.3,9
18,6,55.3,7.9
19,6,55.5,7.9
20,6,53.2,8
21,6,53.2,9.6
22,6,52.1,12.1
23,6,51.4,17
0,0,50.1,21.4
1,0,47.3,15.1
2,0,46.1,24.6
3,0,44,14.8
4,0,43.1,14.4
5,0,42,14.1
6,0,40.9,18.8
7,0,40.7,14.9
8,0,38.8,17.9
9,0,39,16.8
10,0,38,14.1
11,0,36.4,19.2
12,0,36.3,14.3
13,0,35.5,14.3
14,0,36.3,23.6
15,0,34.6,11.4
16,0,33.2,16.9
17,0,31.9,14.6
18,0,29.9,15.9
19,0,29,13.1
20,0,26.7,15.2
21,0,25.1,8.6
22,0,23.1,9.3
23,0,21.8,9.5
0,1,21.5,10
1,1,20.8,11.1
2,1,19.9,6.4
3,1,19.9,8.8
4,1,19.7,7.4
5,1,19.9,5.8
6,1,19.1,2.6
7,1,19.9,9.4
8,1,19.9,2.9
9,1,18.9,0.7
10,1,18.6,1.3
11,1,19.7,1.3
12,1,19.9,5.5
13,1,20.6,5.6
14,1,20.9,8.3
15,1,21.5,1.1
16,1,21.1,5.1
17,1,21,5.2
18,1,20.8,1.9
19,1,20.6,6.3
20,1,20.4,8.5
21,1,20.6,7
22,1,20.4,11.8
23,1,20.6,9
0,2,19.1,5.9
1,2,19.7,6.3
2,2,19.7,10.9
3,2,19.8,9.6
4,2,20.6,7.8
5,2,21.3,8.8
6,2,20.6,11.7
7,2,20.6,7.3
8,2,21,16
9,2,21.1,18
10,2,22.1,17.1
11,2,23.5,17.1
12,2,23.1,18.7
13,2,22.3,14.1
14,2,23.3,17.8
15,2,22,14.8
16,2,21,18.9
17,2,19.1,20.6
18,2,16.8,18.8
19,2,15,17.2
20,2,12,23
21,2,10.9,17.3
22,2,10.1,18.1
23,2,9.7,15.7
0,3,9,14.8
1,3,8.8,12.4
2,3,8,14.2
3,3,8.3,14.4
4,3,7.6,10.7
5,3,8,13
6,3,8.5,10.5
7,3,8.8,10.9
8,3,9,8.5
9,3,11,10.7
10,3,13.1,11.3
11,3,15.9,9.4
12,3,17.7,13.9
13,3,19.7,9.4
14,3,20,10.8
15,3,20,10.6
16,3,19.9,7.9
17,3,18.9,9.6
18,3,17.8,12.4
19,3,17.4,11.9
20,3,16.6,12.4
21,3,16.1,10.8
22,3,16.4,11.1
23,3,17.3,8.6
0,4,18.5,9.8
1,4,19.6,8.9
2,4,21.1,10.7
3,4,22.2,16.3
4,4,23.3,6.7
5,4,24.7,10.3
6,4,24.7,15.2
7,4,23.9,18.3
8,4,22.9,8.2
9,4,23.1,12.2
10,4,24.9,11.7
11,4,26,8.6
12,4,29.4,12.6
13,4,30.8,12.9
14,4,32.7,10.7
15,4,31.9,13.2
16,4,31.7,11.3
17,4,30.5,11.1
18,4,30.3,8.5
19,4,29.6,16.6
20,4,28.6,13.8
21,4,26.5,17.4
22,4,25.6,17.5
23,4,24.7,9.2
0,5,22.9,12.4
1,5,22.5,12.2
2,5,21.5,10.7
3,5,19.8,9.3
4,5,19.5,11.3
5,5,18.6,10.3
6,5,17.5,11.9
7,5,16.6,11.8
8,5,16.1,12.2
9,5,16.3,8.9
10,5,17.3,11.1
11,5,18.4,12.3
12,5,19.3,10.7
13,5,20.2,12
14,5,21.8,10.4
15,5,23.1,6.8
16,5,22.6,8
17,5,21.5,10.2
18,5,20.6,12.7
19,5,19.8,7.6
20,5,19.5,11
21,5,19.5,10.9
22,5,18.6,8.9
23,5,18.4,8.8
0,6,18.4,10.6
1,6,17.8,7.7
2,6,18.6,5.3
3,6,19.5,7.6
4,6,19.7,7.7
5,6,19.7,4.9
6,6,20.4,5.4
7,6,20.9,4.7
8,6,21.2,3.5
9,6,23.9,0.9
10,6,26,6.1
11,6,27.5,7.5
12,6,29.7,6
13,6,31.1,7
14,6,33.7,9.1
15,6,35.9,10.7
16,6,36.6,8.2
17,6,36.5,10.5
18,6,36.5,8
19,6,36.5,9
20,6,36.3,9.1
21,6,36.3,9.2
22,6,36.1,5.7
23,6,36.1,6.1
0,0,36.5,6.8
1,0,36.3,5.7
2,0,36.5,7.1
3,0,36.5,2.8
4,0,35.5,4.8
5,0,35.5,6
6,0,36.5,8.5
7,0,35.5,4.6
8,0,36.7,4.8
9,0,34.5,5
10,0,34.8,2.3
11,0,36.1,2.2
12,0,36.3,1.7
13,0,36.5,4.7
14,0,35.7,2.7
15,0,37.4,3.5
16,0,37.4,2
17,0,37.4,0.6
18,0,37.8,2.6
19,0,38,2.4
20,0,38.6,6.1
21,0,38,8.5
22,0,37.3,7.6
23,0,37.3,8.8
0,1,36.1,9
1,1,36.1,9.3
2,1,35.9,11.3
3,1,35,11.3
4,1,35,9.7
5,1,34.6,10.1
6,1,32.7,12.2
7,1,30.1,11.1
8,1,28.4,14.4
