time,hour,day,dayofweek,temperature,wind_speed,demand
2015-01-01 00:00:00,0,1,3,27.6,6.3,178
2015-01-01 01:00:00,1,1,3,27.6,9.8,431
2015-01-01 02:00:00,2,1,3,27.4,9.7,536
2015-01-01 03:00:00,3,1,3,26.4,7.6,420
2015-01-01 04:00:00,4,1,3,26.6,7.4,266
2015-01-01 05:00:00,5,1,3,26.6,5.3,115
2015-01-01 06:00:00,6,1,3,26.6,8.9,66
2015-01-01 07:00:00,7,1,3,26.2,5.9,40
2015-01-01 08:00:00,8,1,3,26.2,8.0,36
2015-01-01 09:00:00,9,1,3,27.9,5.5,23
2015-01-01 10:00:00,10,1,3,29.9,8.7,24
2015-01-01 11:00:00,11,1,3,31.3,8.8,37
2015-01-01 12:00:00,12,1,3,33.5,14.5,30
2015-01-01 13:00:00,13,1,3,35.6,12.9,41
2015-01-01 14:00:00,14,1,3,37.3,11.4,33
2015-01-01 15:00:00,15,1,3,38.2,12.6,36
2015-01-01 16:00:00,16,1,3,38.7,11.1,17
2015-01-01 17:00:00,17,1,3,38.6,12.6,21
2015-01-01 18:00:00,18,1,3,38.4,10.8,24
2015-01-01 19:00:00,19,1,3,38.4,6.3,31
2015-01-01 20:00:00,20,1,3,37.6,10.0,28
2015-01-01 21:00:00,21,1,3,37.4,10.8,39
2015-01-01 22:00:00,22,1,3,37.5,10.9,47
2015-01-01 23:00:00,23,1,3,37.3,10.1,42
2015-01-02 00:00:00,0,2,4,36.4,11.2,53
2015-01-02 01:00:00,1,2,4,36.9,9.5,56
2015-01-02 02:00:00,2,2,4,36.4,9.8,25
2015-01-02 03:00:00,3,2,4,36.4,9.2,29
2015-01-02 04:00:00,4,2,4,36.4,12.4,15
2015-01-02 05:00:00,5,2,4,35.4,5.5,7
2015-01-02 06:00:00,6,2,4,35.4,10.0,17
2015-01-02 07:00:00,7,2,4,35.4,8.7,12
2015-01-02 08:00:00,8,2,4,35.6,9.8,14
2015-01-02 09:00:00,9,2,4,37.5,7.9,10
2015-01-02 10:00:00,10,2,4,38.9,11.0,14
2015-01-02 11:00:00,11,2,4,40.8,17.0,7
2015-01-02 12:00:00,12,2,4,40.3,13.2,14
2015-01-02 13:00:00,13,2,4,41.5,13.8,22
2015-01-02 14:00:00,14,2,4,42.3,10.6,18
2015-01-02 15:00:00,15,2,4,42.3,17.1,16
2015-01-02 16:00:00,16,2,4,41.9,9.8,17
