time,hour,day,dayofweek,temperature,wind_speed,demand
2015-01-01 00:00:00,0,1,3,27.6,6.3,1051
2015-01-01 01:00:00,1,1,3,27.6,9.8,958
2015-01-01 02:00:00,2,1,3,27.4,9.7,936
2015-01-01 03:00:00,3,1,3,26.4,7.6,737
2015-01-01 04:00:00,4,1,3,26.6,7.4,400
2015-01-01 05:00:00,5,1,3,26.6,5.3,186
2015-01-01 06:00:00,6,1,3,26.6,8.9,98
2015-01-01 07:00:00,7,1,3,26.2,5.9,112
2015-01-01 08:00:00,8,1,3,26.2,8.0,143
2015-01-01 09:00:00,9,1,3,27.9,5.5,227
2015-01-01 10:00:00,10,1,3,29.9,8.7,285
2015-01-01 11:00:00,11,1,3,31.3,8.8,476
2015-01-01 12:00:00,12,1,3,33.5,14.5,542
2015-01-01 13:00:00,13,1,3,35.6,12.9,553
2015-01-01 14:00:00,14,1,3,37.3,11.4,667
2015-01-01 15:00:00,15,1,3,38.2,12.6,677
2015-01-01 16:00:00,16,1,3,38.7,11.1,631
2015-01-01 17:00:00,17,1,3,38.6,12.6,703
2015-01-01 18:00:00,18,1,3,38.4,10.8,812
2015-01-01 19:00:00,19,1,3,38.4,6.3,729
2015-01-01 20:00:00,20,1,3,37.6,10.0,680
2015-01-01 21:00:00,21,1,3,37.4,10.8,501
2015-01-01 22:00:00,22,1,3,37.5,10.9,489
2015-01-01 23:00:00,23,1,3,37.3,10.1,280
2015-01-02 00:00:00,0,2,4,36.4,11.2,230
2015-01-02 01:00:00,1,2,4,36.9,9.5,163
2015-01-02 02:00:00,2,2,4,36.4,9.8,61
2015-01-02 03:00:00,3,2,4,36.4,9.2,41
2015-01-02 04:00:00,4,2,4,36.4,12.4,36
2015-01-02 05:00:00,5,2,4,35.4,5.5,59
2015-01-02 06:00:00,6,2,4,35.4,10.0,168
2015-01-02 07:00:00,7,2,4,35.4,8.7,340
2015-01-02 08:00:00,8,2,4,35.6,9.8,497
2015-01-02 09:00:00,9,2,4,37.5,7.9,564
2015-01-02 10:00:00,10,2,4,38.9,11.0,570
2015-01-02 11:00:00,11,2,4,40.8,17.0,570
2015-01-02 12:00:00,12,2,4,40.3,13.2,692
2015-01-02 13:00:00,13,2,4,41.5,13.8,727
2015-01-02 14:00:00,14,2,4,42.3,10.6,746
2015-01-02 15:00:00,15,2,4,42.3,17.1,705
2015-01-02 16:00:00,16,2,4,41.9,9.8,720
2015-01-02 17:00:00,17,2,4,40.6,10.1,743
2015-01-02 18:00:00,18,2,4,39.7,8.6,934
2015-01-02 19:00:00,19,2,4,39.5,10.7,844
2015-01-02 20:00:00,20,2,4,38.1,7.8,606
2015-01-02 21:00:00,21,2,4,37.6,5.9,640
2015-01-02 22:00:00,22,2,4,36.8,5.7,969
2015-01-02 23:00:00,23,2,4,35.5,4.6,820
2015-01-03 00:00:00,0,3,5,34.2,6.1,508
2015-01-03 01:00:00,1,3,5,34.4,6.5,362
2015-01-03 02:00:00,2,3,5,33.0,2.4,139
2015-01-03 03:00:00,3,3,5,34.2,5.1,82
2015-01-03 04:00:00,4,3,5,34.0,5.8,50
2015-01-03 05:00:00,5,3,5,33.3,5.6,59
2015-01-03 06:00:00,6,3,5,32.7,5.9,95
2015-01-03 07:00:00,7,3,5,32.3,5.9,149
2015-01-03 08:00:00,8,3,5,33.5,9.2,295
2015-01-03 09:00:00,9,3,5,34.6,8.1,423
2015-01-03 10:00:00,10,3,5,35.7,5.7,524
2015-01-03 11:00:00,11,3,5,37.1,8.7,670
2015-01-03 12:00:00,12,3,5,38.1,7.0,765
2015-01-03 13:00:00,13,3,5,35.4,8.1,815
2015-01-03 14:00:00,14,3,5,33.9,9.0,920
2015-01-03 15:00:00,15,3,5,33.7,6.3,1011
2015-01-03 16:00:00,16,3,5,34.4,8.1,786
2015-01-03 17:00:00,17,3,5,35.5,8.3,806
2015-01-03 18:00:00,18,3,5,36.9,5.6,1040
2015-01-03 19:00:00,19,3,5,37.1,7.0,1032
2015-01-03 20:00:00,20,3,5,38.4,7.3,652
2015-01-03 21:00:00,21,3,5,39.1,9.7,795
2015-01-03 22:00:00,22,3,5,39.3,10.0,1102
2015-01-03 23:00:00,23,3,5,40.4,9.1,831
2015-01-04 00:00:00,0,4,6,41.2,8.6,557
2015-01-04 01:00:00,1,4,6,41.3,5.5,402
2015-01-04 02:00:00,2,4,6,41.9,4.4,159
2015-01-04 03:00:00,3,4,6,42.0,3.7,77
2015-01-04 04:00:00,4,4,6,40.9,0.0,55
2015-01-04 05:00:00,5,4,6,41.5,0.0,53
2015-01-04 06:00:00,6,4,6,44.0,5.8,78
2015-01-04 07:00:00,7,4,6,44.4,7.6,141
2015-01-04 08:00:00,8,4,6,43.8,8.3,277
2015-01-04 09:00:00,9,4,6,44.7,6.9,429
2015-01-04 10:00:00,10,4,6,45.9,6.1,593
2015-01-04 11:00:00,11,4,6,47.0,7.6,658
2015-01-04 12:00:00,12,4,6,49.9,10.2,720
2015-01-04 13:00:00,13,4,6,50.3,7.8,679
2015-01-04 14:00:00,14,4,6,50.7,8.9,816
2015-01-04 15:00:00,15,4,6,52.3,10.2,708
2015-01-04 16:00:00,16,4,6,54.1,12.7,626
2015-01-04 17:00:00,17,4,6,55.3,9.0,668
2015-01-04 18:00:00,18,4,6,55.3,7.9,799
2015-01-04 19:00:00,19,4,6,55.5,7.9,632
2015-01-04 20:00:00,20,4,6,53.2,8.0,543
2015-01-04 21:00:00,21,4,6,53.2,9.6,456
2015-01-04 22:00:00,22,4,6,52.1,12.1,424
2015-01-04 23:00:00,23,4,6,51.4,17.0,176
2015-01-05 00:00:00,0,5,0,50.1,21.4,152
2015-01-05 01:00:00,1,5,0,47.3,15.1,83
2015-01-05 02:00:00,2,5,0,46.1,24.6,30
2015-01-05 03:00:00,3,5,0,44.0,14.8,41
2015-01-05 04:00:00,4,5,0,43.1,14.4,44
2015-01-05 05:00:00,5,5,0,42.0,14.1,140
2015-01-05 06:00:00,6,5,0,40.9,18.8,365
2015-01-05 07:00:00,7,5,0,40.7,14.9,741
2015-01-05 08:00:00,8,5,0,38.8,17.9,964
2015-01-05 09:00:00,9,5,0,39.0,16.8,815
2015-01-05 10:00:00,10,5,0,38.0,14.1,658
2015-01-05 11:00:00,11,5,0,36.4,19.2,660
2015-01-05 12:00:00,12,5,0,36.3,14.3,679
2015-01-05 13:00:00,13,5,0,35.5,14.3,612
2015-01-05 14:00:00,14,5,0,36.3,23.6,695
2015-01-05 15:00:00,15,5,0,34.6,11.4,748
2015-01-05 16:00:00,16,5,0,33.2,16.9,655
2015-01-05 17:00:00,17,5,0,31.9,14.6,832
2015-01-05 18:00:00,18,5,0,29.9,15.9,922
2015-01-05 19:00:00,19,5,0,29.0,13.1,884
2015-01-05 20:00:00,20,5,0,26.7,15.2,620
2015-01-05 21:00:00,21,5,0,25.1,8.6,624
2015-01-05 22:00:00,22,5,0,23.1,9.3,469
2015-01-05 23:00:00,23,5,0,21.8,9.5,553
2015-01-06 00:00:00,0,6,1,21.5,10.0,189
2015-01-06 01:00:00,1,6,1,20.8,11.1,95
2015-01-06 02:00:00,2,6,1,19.9,6.4,53
2015-01-06 03:00:00,3,6,1,19.9,8.8,43
2015-01-06 04:00:00,4,6,1,19.7,7.4,57
2015-01-06 05:00:00,5,6,1,19.9,5.8,116
2015-01-06 06:00:00,6,6,1,19.1,2.6,404
2015-01-06 07:00:00,7,6,1,19.9,9.4,850
2015-01-06 08:00:00,8,6,1,19.9,2.9,1094
2015-01-06 09:00:00,9,6,1,18.9,0.7,847
2015-01-06 10:00:00,10,6,1,18.6,1.3,694
2015-01-06 11:00:00,11,6,1,19.7,1.3,678
2015-01-06 12:00:00,12,6,1,19.9,5.5,672
2015-01-06 13:00:00,13,6,1,20.6,5.6,657
2015-01-06 14:00:00,14,6,1,20.9,8.3,717
2015-01-06 15:00:00,15,6,1,21.5,1.1,766
2015-01-06 16:00:00,16,6,1,21.1,5.1,655
2015-01-06 17:00:00,17,6,1,21.0,5.2,780
2015-01-06 18:00:00,18,6,1,20.8,1.9,1013
2015-01-06 19:00:00,19,6,1,20.6,6.3,925
2015-01-06 20:00:00,20,6,1,20.4,8.5,721
2015-01-06 21:00:00,21,6,1,20.6,7.0,813
2015-01-06 22:00:00,22,6,1,20.4,11.8,939
2015-01-06 23:00:00,23,6,1,20.6,9.0,367
2015-01-07 00:00:00,0,7,2,19.1,5.9,218
2015-01-07 01:00:00,1,7,2,19.7,6.3,82
2015-01-07 02:00:00,2,7,2,19.7,10.9,53
2015-01-07 03:00:00,3,7,2,19.8,9.6,36
2015-01-07 04:00:00,4,7,2,20.6,7.8,48
2015-01-07 05:00:00,5,7,2,21.3,8.8,123
2015-01-07 06:00:00,6,7,2,20.6,11.7,409
2015-01-07 07:00:00,7,7,2,20.6,7.3,943
2015-01-07 08:00:00,8,7,2,21.0,16.0,1135
2015-01-07 09:00:00,9,7,2,21.1,18.0,981
2015-01-07 10:00:00,10,7,2,22.1,17.1,796
2015-01-07 11:00:00,11,7,2,23.5,17.1,829
2015-01-07 12:00:00,12,7,2,23.1,18.7,775
2015-01-07 13:00:00,13,7,2,22.3,14.1,812
2015-01-07 14:00:00,14,7,2,23.3,17.8,819
2015-01-07 15:00:00,15,7,2,22.0,14.8,862
2015-01-07 16:00:00,16,7,2,21.0,18.9,711
2015-01-07 17:00:00,17,7,2,19.1,20.6,937
2015-01-07 18:00:00,18,7,2,16.8,18.8,1189
2015-01-07 19:00:00,19,7,2,15.0,17.2,1099
2015-01-07 20:00:00,20,7,2,12.0,23.0,782
2015-01-07 21:00:00,21,7,2,10.9,17.3,741
2015-01-07 22:00:00,22,7,2,10.1,18.1,893
2015-01-07 23:00:00,23,7,2,9.7,15.7,342
2015-01-08 00:00:00,0,8,3,9.0,14.8,190
2015-01-08 01:00:00,1,8,3,8.8,12.4,94
2015-01-08 02:00:00,2,8,3,8.0,14.2,45
2015-01-08 03:00:00,3,8,3,8.3,14.4,35
2015-01-08 04:00:00,4,8,3,7.6,10.7,43
2015-01-08 05:00:00,5,8,3,8.0,13.0,135
2015-01-08 06:00:00,6,8,3,8.5,10.5,442
2015-01-08 07:00:00,7,8,3,8.8,10.9,968
2015-01-08 08:00:00,8,8,3,9.0,8.5,1057
2015-01-08 09:00:00,9,8,3,11.0,10.7,992
2015-01-08 10:00:00,10,8,3,13.1,11.3,912
2015-01-08 11:00:00,11,8,3,15.9,9.4,801
