time,hour,day,dayofweek,temperature,wind_speed,demand
2015-01-01 00:00:00,0,1,3,27.6,6.3,1595
2015-01-01 01:00:00,1,1,3,27.6,9.8,1741
2015-01-01 02:00:00,2,1,3,27.4,9.7,1555
2015-01-01 03:00:00,3,1,3,26.4,7.6,1687
2015-01-01 04:00:00,4,1,3,26.6,7.4,1240
2015-01-01 05:00:00,5,1,3,26.6,5.3,611
2015-01-01 06:00:00,6,1,3,26.6,8.9,475
2015-01-01 07:00:00,7,1,3,26.2,5.9,385
2015-01-01 08:00:00,8,1,3,26.2,8.0,347
2015-01-01 09:00:00,9,1,3,27.9,5.5,424
2015-01-01 10:00:00,10,1,3,29.9,8.7,512
2015-01-01 11:00:00,11,1,3,31.3,8.8,724
2015-01-01 12:00:00,12,1,3,33.5,14.5,836
2015-01-01 13:00:00,13,1,3,35.6,12.9,768
2015-01-01 14:00:00,14,1,3,37.3,11.4,792
2015-01-01 15:00:00,15,1,3,38.2,12.6,706
2015-01-01 16:00:00,16,1,3,38.7,11.1,613
2015-01-01 17:00:00,17,1,3,38.6,12.6,653
2015-01-01 18:00:00,18,1,3,38.4,10.8,715
2015-01-01 19:00:00,19,1,3,38.4,6.3,773
2015-01-01 20:00:00,20,1,3,37.6,10.0,702
2015-01-01 21:00:00,21,1,3,37.4,10.8,764
2015-01-01 22:00:00,22,1,3,37.5,10.9,739
2015-01-01 23:00:00,23,1,3,37.3,10.1,706
2015-01-02 00:00:00,0,2,4,36.4,11.2,587
2015-01-02 01:00:00,1,2,4,36.9,9.5,494
2015-01-02 02:00:00,2,2,4,36.4,9.8,339
2015-01-02 03:00:00,3,2,4,36.4,9.2,285
2015-01-02 04:00:00,4,2,4,36.4,12.4,220
2015-01-02 05:00:00,5,2,4,35.4,5.5,142
2015-01-02 06:00:00,6,2,4,35.4,10.0,272
2015-01-02 07:00:00,7,2,4,35.4,8.7,430
2015-01-02 08:00:00,8,2,4,35.6,9.8,523
2015-01-02 09:00:00,9,2,4,37.5,7.9,589
2015-01-02 10:00:00,10,2,4,38.9,11.0,580
2015-01-02 11:00:00,11,2,4,40.8,17.0,602
2015-01-02 12:00:00,12,2,4,40.3,13.2,616
2015-01-02 13:00:00,13,2,4,41.5,13.8,627
2015-01-02 14:00:00,14,2,4,42.3,10.6,603
2015-01-02 15:00:00,15,2,4,42.3,17.1,530
2015-01-02 16:00:00,16,2,4,41.9,9.8,553
2015-01-02 17:00:00,17,2,4,40.6,10.1,656
2015-01-02 18:00:00,18,2,4,39.7,8.6,812
2015-01-02 19:00:00,19,2,4,39.5,10.7,978
2015-01-02 20:00:00,20,2,4,38.1,7.8,925
2015-01-02 21:00:00,21,2,4,37.6,5.9,997
2015-01-02 22:00:00,22,2,4,36.8,5.7,1155
2015-01-02 23:00:00,23,2,4,35.5,4.6,1357
2015-01-03 00:00:00,0,3,5,34.2,6.1,1464
2015-01-03 01:00:00,1,3,5,34.4,6.5,1398
2015-01-03 02:00:00,2,3,5,33.0,2.4,1286
2015-01-03 03:00:00,3,3,5,34.2,5.1,929
2015-01-03 04:00:00,4,3,5,34.0,5.8,542
2015-01-03 05:00:00,5,3,5,33.3,5.6,203
2015-01-03 06:00:00,6,3,5,32.7,5.9,220
2015-01-03 07:00:00,7,3,5,32.3,5.9,234
2015-01-03 08:00:00,8,3,5,33.5,9.2,356
2015-01-03 09:00:00,9,3,5,34.6,8.1,519
2015-01-03 10:00:00,10,3,5,35.7,5.7,631
2015-01-03 11:00:00,11,3,5,37.1,8.7,668
2015-01-03 12:00:00,12,3,5,38.1,7.0,845
2015-01-03 13:00:00,13,3,5,35.4,8.1,942
2015-01-03 14:00:00,14,3,5,33.9,9.0,908
2015-01-03 15:00:00,15,3,5,33.7,6.3,802
2015-01-03 16:00:00,16,3,5,34.4,8.1,746
2015-01-03 17:00:00,17,3,5,35.5,8.3,863
2015-01-03 18:00:00,18,3,5,36.9,5.6,986
2015-01-03 19:00:00,19,3,5,37.1,7.0,1183
2015-01-03 20:00:00,20,3,5,38.4,7.3,1077
2015-01-03 21:00:00,21,3,5,39.1,9.7,1163
2015-01-03 22:00:00,22,3,5,39.3,10.0,1188
2015-01-03 23:00:00,23,3,5,40.4,9.1,1566
2015-01-04 00:00:00,0,4,6,41.2,8.6,1522
2015-01-04 01:00:00,1,4,6,41.3,5.5,1454
2015-01-04 02:00:00,2,4,6,41.9,4.4,1202
2015-01-04 03:00:00,3,4,6,42.0,3.7,827
2015-01-04 04:00:00,4,4,6,40.9,0.0,427
2015-01-04 05:00:00,5,4,6,41.5,0.0,201
2015-01-04 06:00:00,6,4,6,44.0,5.8,182
2015-01-04 07:00:00,7,4,6,44.4,7.6,214
2015-01-04 08:00:00,8,4,6,43.8,8.3,290
2015-01-04 09:00:00,9,4,6,44.7,6.9,440
2015-01-04 10:00:00,10,4,6,45.9,6.1,643
2015-01-04 11:00:00,11,4,6,47.0,7.6,656
2015-01-04 12:00:00,12,4,6,49.9,10.2,744
2015-01-04 13:00:00,13,4,6,50.3,7.8,709
2015-01-04 14:00:00,14,4,6,50.7,8.9,655
2015-01-04 15:00:00,15,4,6,52.3,10.2,626
2015-01-04 16:00:00,16,4,6,54.1,12.7,626
2015-01-04 17:00:00,17,4,6,55.3,9.0,604
2015-01-04 18:00:00,18,4,6,55.3,7.9,680
2015-01-04 19:00:00,19,4,6,55.5,7.9,806
2015-01-04 20:00:00,20,4,6,53.2,8.0,867
2015-01-04 21:00:00,21,4,6,53.2,9.6,590
2015-01-04 22:00:00,22,4,6,52.1,12.1,513
2015-01-04 23:00:00,23,4,6,51.4,17.0,438
2015-01-05 00:00:00,0,5,0,50.1,21.4,283
2015-01-05 01:00:00,1,5,0,47.3,15.1,231
2015-01-05 02:00:00,2,5,0,46.1,24.6,159
2015-01-05 03:00:00,3,5,0,44.0,14.8,131
2015-01-05 04:00:00,4,5,0,43.1,14.4,132
2015-01-05 05:00:00,5,5,0,42.0,14.1,197
2015-01-05 06:00:00,6,5,0,40.9,18.8,552
2015-01-05 07:00:00,7,5,0,40.7,14.9,771
2015-01-05 08:00:00,8,5,0,38.8,17.9,817
2015-01-05 09:00:00,9,5,0,39.0,16.8,755
2015-01-05 10:00:00,10,5,0,38.0,14.1,553
2015-01-05 11:00:00,11,5,0,36.4,19.2,481
2015-01-05 12:00:00,12,5,0,36.3,14.3,480
2015-01-05 13:00:00,13,5,0,35.5,14.3,459
2015-01-05 14:00:00,14,5,0,36.3,23.6,518
2015-01-05 15:00:00,15,5,0,34.6,11.4,523
2015-01-05 16:00:00,16,5,0,33.2,16.9,464
2015-01-05 17:00:00,17,5,0,31.9,14.6,496
2015-01-05 18:00:00,18,5,0,29.9,15.9,713
2015-01-05 19:00:00,19,5,0,29.0,13.1,735
2015-01-05 20:00:00,20,5,0,26.7,15.2,680
2015-01-05 21:00:00,21,5,0,25.1,8.6,674
2015-01-05 22:00:00,22,5,0,23.1,9.3,625
2015-01-05 23:00:00,23,5,0,21.8,9.5,538
2015-01-06 00:00:00,0,6,1,21.5,10.0,368
2015-01-06 01:00:00,1,6,1,20.8,11.1,237
2015-01-06 02:00:00,2,6,1,19.9,6.4,187
2015-01-06 03:00:00,3,6,1,19.9,8.8,120
2015-01-06 04:00:00,4,6,1,19.7,7.4,108
2015-01-06 05:00:00,5,6,1,19.9,5.8,215
2015-01-06 06:00:00,6,6,1,19.1,2.6,528
2015-01-06 07:00:00,7,6,1,19.9,9.4,863
2015-01-06 08:00:00,8,6,1,19.9,2.9,810
2015-01-06 09:00:00,9,6,1,18.9,0.7,673
2015-01-06 10:00:00,10,6,1,18.6,1.3,617
2015-01-06 11:00:00,11,6,1,19.7,1.3,518
2015-01-06 12:00:00,12,6,1,19.9,5.5,512
2015-01-06 13:00:00,13,6,1,20.6,5.6,574
2015-01-06 14:00:00,14,6,1,20.9,8.3,544
2015-01-06 15:00:00,15,6,1,21.5,1.1,526
2015-01-06 16:00:00,16,6,1,21.1,5.1,499
2015-01-06 17:00:00,17,6,1,21.0,5.2,545
2015-01-06 18:00:00,18,6,1,20.8,1.9,678
2015-01-06 19:00:00,19,6,1,20.6,6.3,725
2015-01-06 20:00:00,20,6,1,20.4,8.5,807
2015-01-06 21:00:00,21,6,1,20.6,7.0,730
2015-01-06 22:00:00,22,6,1,20.4,11.8,705
2015-01-06 23:00:00,23,6,1,20.6,9.0,584
2015-01-07 00:00:00,0,7,2,19.1,5.9,411
2015-01-07 01:00:00,1,7,2,19.7,6.3,313
2015-01-07 02:00:00,2,7,2,19.7,10.9,194
2015-01-07 03:00:00,3,7,2,19.8,9.6,152
2015-01-07 04:00:00,4,7,2,20.6,7.8,127
2015-01-07 05:00:00,5,7,2,21.3,8.8,214
2015-01-07 06:00:00,6,7,2,20.6,11.7,548
2015-01-07 07:00:00,7,7,2,20.6,7.3,871
2015-01-07 08:00:00,8,7,2,21.0,16.0,838
