time,hour,day,dayofweek,temperature,wind_speed,demand
2015-01-01 00:00:00,0,1,3,27.6,6.3,1500
2015-01-01 01:00:00,1,1,3,27.6,9.8,1023
2015-01-01 02:00:00,2,1,3,27.4,9.7,793
2015-01-01 03:00:00,3,1,3,26.4,7.6,670
2015-01-01 04:00:00,4,1,3,26.6,7.4,650
2015-01-01 05:00:00,5,1,3,26.6,5.3,518
2015-01-01 06:00:00,6,1,3,26.6,8.9,327
2015-01-01 07:00:00,7,1,3,26.2,5.9,198
2015-01-01 08:00:00,8,1,3,26.2,8.0,170
2015-01-01 09:00:00,9,1,3,27.9,5.5,198
2015-01-01 10:00:00,10,1,3,29.9,8.7,277
2015-01-01 11:00:00,11,1,3,31.3,8.8,416
2015-01-01 12:00:00,12,1,3,33.5,14.5,490
2015-01-01 13:00:00,13,1,3,35.6,12.9,559
2015-01-01 14:00:00,14,1,3,37.3,11.4,584
2015-01-01 15:00:00,15,1,3,38.2,12.6,621
2015-01-01 16:00:00,16,1,3,38.7,11.1,551
2015-01-01 17:00:00,17,1,3,38.6,12.6,587
2015-01-01 18:00:00,18,1,3,38.4,10.8,591
2015-01-01 19:00:00,19,1,3,38.4,6.3,590
2015-01-01 20:00:00,20,1,3,37.6,10.0,556
2015-01-01 21:00:00,21,1,3,37.4,10.8,607
2015-01-01 22:00:00,22,1,3,37.5,10.9,658
2015-01-01 23:00:00,23,1,3,37.3,10.1,571
2015-01-02 00:00:00,0,2,4,36.4,11.2,563
2015-01-02 01:00:00,1,2,4,36.9,9.5,452
2015-01-02 02:00:00,2,2,4,36.4,9.8,319
2015-01-02 03:00:00,3,2,4,36.4,9.2,227
2015-01-02 04:00:00,4,2,4,36.4,12.4,166
2015-01-02 05:00:00,5,2,4,35.4,5.5,78
2015-01-02 06:00:00,6,2,4,35.4,10.0,155
2015-01-02 07:00:00,7,2,4,35.4,8.7,219
2015-01-02 08:00:00,8,2,4,35.6,9.8,291
2015-01-02 09:00:00,9,2,4,37.5,7.9,351
2015-01-02 10:00:00,10,2,4,38.9,11.0,446
2015-01-02 11:00:00,11,2,4,40.8,17.0,480
2015-01-02 12:00:00,12,2,4,40.3,13.2,553
2015-01-02 13:00:00,13,2,4,41.5,13.8,592
2015-01-02 14:00:00,14,2,4,42.3,10.6,664
2015-01-02 15:00:00,15,2,4,42.3,17.1,653
2015-01-02 16:00:00,16,2,4,41.9,9.8,631
2015-01-02 17:00:00,17,2,4,40.6,10.1,680
2015-01-02 18:00:00,18,2,4,39.7,8.6,745
2015-01-02 19:00:00,19,2,4,39.5,10.7,918
2015-01-02 20:00:00,20,2,4,38.1,7.8,857
2015-01-02 21:00:00,21,2,4,37.6,5.9,847
2015-01-02 22:00:00,22,2,4,36.8,5.7,963
2015-01-02 23:00:00,23,2,4,35.5,4.6,1122
2015-01-03 00:00:00,0,3,5,34.2,6.1,1296
2015-01-03 01:00:00,1,3,5,34.4,6.5,1223
2015-01-03 02:00:00,2,3,5,33.0,2.4,1296
2015-01-03 03:00:00,3,3,5,34.2,5.1,1190
2015-01-03 04:00:00,4,3,5,34.0,5.8,692
2015-01-03 05:00:00,5,3,5,33.3,5.6,160
2015-01-03 06:00:00,6,3,5,32.7,5.9,120
2015-01-03 07:00:00,7,3,5,32.3,5.9,117
2015-01-03 08:00:00,8,3,5,33.5,9.2,195
2015-01-03 09:00:00,9,3,5,34.6,8.1,352
2015-01-03 10:00:00,10,3,5,35.7,5.7,423
2015-01-03 11:00:00,11,3,5,37.1,8.7,556
2015-01-03 12:00:00,12,3,5,38.1,7.0,742
